(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
07/22/2016 20:55:50,2002082962.0,1120,69560,33288.57143,0,768,1008.0,0,1608.0,202686.8571,1400,305535.4286,100,5917.857143,54.4184175,501.7142857
07/22/2016 20:55:05,2010223031.0,1120,69560,33131.71429,0,768,1008.0,0,1608.0,202795.4286,1400,305487.1429,100,5932.785714,54.38815778,506.7857143
07/22/2016 20:55:20,2018363099.0,1120,69560,32974.85714,0,768,1008.0,0,1608.0,202904.0,1400,305438.8571,100,5947.714286,54.35789805,511.8571429
07/22/2016 20:56:35,2026503168.0,1120,69560,32818.0,0,768,1008.0,0,1608.0,203012.5714,1400,305390.5714,100,5962.642857,54.32763832,516.9285714
07/22/2016 20:56:50,2034643237.0,1120,69560,32661.14286,0,768,1008.0,0,1608.0,203121.1429,1400,305342.2857,100,5977.571429,54.29737859,522.0
07/22/2016 20:56:05,2042783305.0,1120,69560,32504.28571,0,768,1008.0,0,1608.0,203229.7143,1400,305294.0,100,5992.5,54.26711886,527.0714286
07/22/2016 20:56:20,2050923374.0,1120,69560,32347.42857,0,768,1008.0,0,1608.0,203338.2857,1400,305245.7143,100,6007.428571,54.23685913,532.1428571
07/22/2016 20:57:35,2059063442.0,1120,69560,32190.57143,0,768,1008.0,0,1608.0,203446.8571,1400,305197.4286,100,6022.357143,54.2065994,537.2142857
07/22/2016 20:57:50,2067203511.0,1120,69560,32033.71429,0,768,1008.0,0,1608.0,203555.4286,1400,305149.1429,100,6037.285714,54.17633967,542.2857143
07/22/2016 20:57:05,2075343579.0,1120,69560,31876.85714,0,768,1008.0,0,1608.0,203664.0,1400,305100.8571,100,6052.214286,54.14607994,547.3571429
07/22/2016 20:57:20,2083483648.0,1120,69560,31720.0,0,768,1008.0,0,1608.0,203772.5714,1400,305052.5714,100,6067.142857,54.11582021,552.4285714
07/22/2016 20:58:35,2091623717.0,1120,69560,31563.14286,0,768,1008.0,0,1608.0,203881.1429,1400,305004.2857,100,6082.071429,54.08556048,557.5
07/22/2016 20:58:50,2099763785.0,1120,69560,31406.28571,0,768,1008.0,0,1608.0,203989.7143,1400,304956.0,100,6097.0,54.05530075,562.5714286
07/22/2016 20:58:05,2107903854.0,1120,69560,31249.42857,0,768,1008.0,0,1608.0,204098.2857,1400,304907.7143,100,6111.928571,54.02504102,567.6428571
07/22/2016 20:58:20,2116043922.0,1120,69560,31092.57143,0,768,1008.0,0,1608.0,204206.8571,1400,304859.4286,100,6126.857143,53.99478129,572.7142857
07/22/2016 20:59:50,2124183991.0,1120,69560,30935.71429,0,768,1008.0,0,1608.0,204315.4286,1400,304811.1429,100,6141.785714,53.96452156,577.7857143
07/22/2016 20:59:05,2132324059.0,1120,69560,30778.85714,0,768,1008.0,0,1608.0,204424.0,1400,304762.8571,100,6156.714286,53.93426183,582.8571429
07/22/2016 20:59:20,2140464128.0,1120,69560,30622.0,0,768,1008.0,0,1608.0,204532.5714,1400,304714.5714,100,6171.642857,53.9040021,587.9285714
07/22/2016 20:59:35,2148604197.0,1120,69560,30465.14286,0,768,1008.0,0,1608.0,204641.1429,1400,304666.2857,100,6186.571429,53.87374237,593.0
07/22/2016 21:00:50,2156744265.0,1120,69560,30308.28571,0,768,1008.0,0,1608.0,204749.7143,1400,304618.0,100,6201.5,53.84348264,598.0714286
07/22/2016 21:00:05,2164884334.0,1120,69560,30151.42857,0,768,1008.0,0,1608.0,204858.2857,1400,304569.7143,100,6216.428571,53.81322292,603.1428571
