(PDH-CSV 4.0) (,Memory Manager\Database Cache Memory (MB),Memory Manager\Stolen Server Memory (MB),Memory Manager\Free Memory (MB),Memory Manager\Total Server Memory (MB),Memory Manager\Connection Memory (MB),Memory Manager\Lock Memory (MB),Memory Manager\Optimizer Memory (MB),Memory Manager\SQL Cache Memory (MB),Plan Cache(_Total)\Cache Memory (MB),Memory Manager\Reserved Server Memory (MB),Memory Manager\Granted Workspace Memory (MB),Buffer Manager\Page life expectancy,Buffer Manager\Lazy writes/sec,Buffer Manager\Buffer cache hit ratio,Plan Cache(_Total)\Cache Hit Ratio
11/28/2016 21:47:20.425,717.140625,273.9609375,32.890625,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,12,1.0002427849552045,99.998053536,86.4140150161
11/28/2016 21:47:30.418,718.046875,273.9765625,31.96875,1023.9921875,1.3359375,14.71875,0.9921875,1.65625,4.28125,0.0,0.0,11,0.50036690295639374,99.9991926781,86.4237227581
11/28/2016 21:47:40.415,717.5546875,274.5078125,31.9296875,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,10,1.8005067235853645,99.9990138032,86.4334166369
11/28/2016 21:47:50.417,717.71875,273.9140625,32.359375,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,10,0.29994682355748481,99.9986886335,86.4527629234
11/28/2016 21:48:00.414,717.8125,273.9296875,32.25,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,9,1.0002108632340379,99.9988706084,86.4624153901
11/28/2016 21:48:10.429,717.6171875,274.125,32.25,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,12,0.59913695037090919,99.9983733546,86.4720541118
11/28/2016 21:48:20.414,717.40625,274.4765625,32.109375,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,10,3.1046992227247068,99.9983337243,86.4816791178
11/28/2016 21:48:30.419,715.8984375,274.3046875,33.7890625,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,11,2.0987844605566832,99.998779781,86.4912904373
11/28/2016 21:48:40.416,717.7265625,274.265625,32.0,1023.9921875,1.3359375,14.7421875,0.9921875,1.65625,4.28125,0.0,0.0,11,2.7008703217287016,99.9968951706,86.5008880995
11/28/2016 21:48:50.429,144.6875,973.59375,7.9765625,1126.2578125,1.3359375,14.734375,0.9921875,1.65625,700.1796875,0.0,0.0,0,13.382663411952846,99.9332888592,86.4893617021
11/28/2016 21:49:00.423,47.703125,273.75,702.5390625,1023.9921875,1.296875,14.734375,0.9921875,1.6484375,2.84375,0.0,0.0,7,38.023573367457317,100.0,86.428065202
11/28/2016 21:49:10.414,48.1796875,273.453125,702.359375,1023.9921875,1.296875,14.734375,0.9921875,1.6484375,2.84375,0.0,0.0,18,0,100.0,86.4376770538
11/28/2016 21:49:20.422,48.1796875,273.453125,702.359375,1023.9921875,1.296875,14.734375,0.9921875,1.6484375,2.84375,0.0,0.0,28,0,100.0,86.4472753008
11/28/2016 21:49:30.423,48.484375,274.1953125,701.3125,1023.9921875,1.3046875,14.734375,0.9921875,1.6484375,3.25,0.0,0.0,38,0,100.0,86.4005651713
11/28/2016 21:49:40.425,122.6796875,276.6484375,624.6640625,1023.9921875,1.328125,14.734375,0.9921875,1.6484375,4.3828125,0.0,0.0,47,0,99.9755793792,86.2724392819
11/28/2016 21:49:50.420,263.0625,283.8828125,477.046875,1023.9921875,1.328125,14.734375,0.9921875,1.6484375,10.640625,0.0,0.0,58,0,99.995217057,85.7818304627
11/28/2016 21:50:00.423,639.421875,286.9765625,97.609375,1024.0078125,1.328125,14.734375,0.9921875,1.6484375,13.578125,0.0,0.0,68,0,99.9983319462,85.6541450777
11/28/2016 21:50:10.419,700.1171875,291.3515625,32.5234375,1023.9921875,1.328125,14.734375,0.9921875,1.65625,16.7734375,0.0,0.0,78,2.4008796277755358,99.9981598027,86.3552776756
11/28/2016 21:50:20.424,688.6953125,302.140625,33.15625,1023.9921875,1.328125,14.734375,0.9921875,1.65625,18.7734375,0.0,0.0,88,5.2972868144977108,99.9981815606,86.3033345285
11/28/2016 21:50:30.420,695.6953125,296.46875,31.828125,1023.9921875,1.3125,14.734375,0.9921875,1.6640625,20.828125,0.0,0.0,97,2.9013019721453923,99.9981010235,87.368862778
11/28/2016 21:50:40.427,694.75,295.5,33.7421875,1023.9921875,1.3125,14.734375,0.9921875,1.6640625,20.828125,0.0,0.0,9,9.1929987747710538,99.9981281979,87.3794549266
11/28/2016 21:50:50.419,695.7578125,296.6171875,31.6171875,1023.9921875,1.3359375,14.734375,1.4453125,1.6640625,21.28125,0.0,0.0,7,6.6057696691446939,99.9948744642,87.2909698997
11/28/2016 21:51:00.430,691.8984375,299.5078125,32.5859375,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,23.5703125,0.0,0.0,9,9.989089459722539,99.9983204474,86.7940199336
11/28/2016 21:51:10.428,691.40625,300.5859375,32.0,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,6.6007772339551716,99.9246802696,86.6611433306
11/28/2016 21:51:20.423,690.828125,300.40625,32.7578125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,6.9036573016196074,99.9986296076,86.6721854305
11/28/2016 21:51:30.422,691.4296875,300.5625,32.0,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,1.4001770263256079,99.9550795958,86.6832092639
11/28/2016 21:51:40.423,690.9921875,300.359375,32.640625,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,12,0,99.9984753512,86.694214876
11/28/2016 21:51:50.418,691.140625,300.6328125,32.21875,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,5.3029392641712176,99.9988617976,86.7161716172
11/28/2016 21:52:00.427,690.046875,301.234375,32.7109375,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,3.5967266780812963,99.9978135724,86.7271228359
11/28/2016 21:52:10.424,690.6328125,300.9765625,32.3828125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,11,1.3003498334472776,99.9982888396,86.7380560132
11/28/2016 21:52:20.417,690.515625,300.3984375,33.078125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,10,1.1008120396063472,99.9983641766,86.7489711934
11/28/2016 21:52:30.421,691.0546875,300.9921875,31.9453125,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,0.59974871383432604,99.9986064838,86.7598684211
11/28/2016 21:52:40.426,691.3984375,300.6171875,31.9765625,1023.9921875,1.359375,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,1.3993244656608366,99.9985238182,86.7707477403
